CBRO-2021 (Brazil),Aves Argentinas
Heliornis fulica,
Pluvialis dominica,
Pluvialis squatarola,
Oreopholus ruficollis,
Vanellus cayanus,
Vanellus chilensis,
Charadrius modestus,
Charadrius sp.,
Charadrius semipalmatus,
Charadrius wilsonia,
Charadrius collaris,
Charadrius falklandicus,
Haematopus palliatus,
Himantopus mexicanus,
Himantopus melanurus,
Burhinus bistriatus,
Chionis albus,
Bartramia longicauda,
Numenius borealis,
Numenius hudsonicus,
Numenius phaeopus,
Limosa lapponica,
Limosa haemastica,
Limosa fedoa,
Arenaria interpres,
Calidris canutus,
Calidris pugnax,
Calidris himantopus,
Calidris ferruginea,
Calidris alba,
Calidris bairdii,
Calidris minuta,
Calidris minutilla,
Calidris fuscicollis,
Calidris subruficollis,
Calidris melanotos,
Calidris pusilla,
Calidris mauri,
Limnodromus griseus,
Gallinago undulata,
Gallinago paraguaiae,
Phalaropus tricolor,
Phalaropus lobatus,
Phalaropus fulicarius,
Xenus cinereus,
Actitis macularius,
Tringa solitaria,
Tringa melanoleuca,
Tringa inornata,
Tringa semipalmata,
Tringa flavipes,
Tringa totanus,
Tringa glareola,
Thinocorus rumicivorus,
Jacana jacana,
Nycticryphes semicollaris,
Glareola pratincola,
Stercorarius skua,
Stercorarius chilensis,
Stercorarius maccormicki,
Stercorarius antarcticus,
Stercorarius pomarinus,
Stercorarius parasiticus,
Stercorarius longicaudus,
Xema sabini,
Chroicocephalus maculipennis,
Chroicocephalus cirrocephalus,
Chroicocephalus ridibundus,
Leucophaeus modestus,
Leucophaeus atricilla,
Leucophaeus pipixcan,
Larus atlanticus,
Larus dominicanus,
Larus fuscus,
Anous stolidus,
Anous minutus,
Gygis alba,
Rynchops niger,
Onychoprion fuscatus,
Sternula antillarum,
Sternula superciliaris,
Phaetusa simplex,
Gelochelidon nilotica,
Chlidonias niger,
Chlidonias leucopterus,
Sterna hirundo,
Sterna dougallii,
Sterna paradisaea,
Sterna hirundinacea,
Sterna vittata,
Sterna trudeaui,
Thalasseus acuflavidus,
Thalasseus maximus,
Eurypyga helias,
Phaethon aethereus,
Phaethon rubricauda,
Phaethon lepturus,
Aptenodytes patagonicus,
Spheniscus magellanicus,
Eudyptes chrysolophus,
Eudyptes chrysocome,
Diomedea epomophora,
Diomedea sanfordi,
Diomedea exulans,
Diomedea dabbenena,
Phoebetria fusca,
Phoebetria palpebrata,
Thalassarche chlororhynchos,
Thalassarche melanophris,
Thalassarche chrysostoma,
Thalassarche cauta,
Fregetta grallaria,
Fregetta tropica,
Oceanites oceanicus,
Pelagodroma marina,
Hydrobates leucorhous,
Macronectes giganteus,
Macronectes halli,
Fulmarus glacialoides,
Daption capense,
Lugensa brevirostris,
Pterodroma madeira,
Pterodroma deserta,
Pterodroma mollis,
Pterodroma incerta,
Pterodroma lessonii,
Pterodroma macroptera,
Pterodroma arminjoniana,
Halobaena caerulea,
Pachyptila vittata,
Pachyptila desolata,
Pachyptila belcheri,
Bulweria bulwerii,
Procellaria cinerea,
Procellaria aequinoctialis,
Procellaria conspicillata,
Calonectris diomedea,
Calonectris borealis,
Calonectris edwardsii,
Ardenna tenuirostris,
Ardenna grisea,
Ardenna gravis,
Puffinus puffinus,
Puffinus boydi,
Puffinus lherminieri,
Pelecanoides magellani,
Ciconia maguari,
Jabiru mycteria,
Mycteria americana,
Fregata trinitatis,
Fregata aquila,
Fregata magnificens,
Fregata minor,
Morus bassanus,
Morus capensis,
Morus serrator,
Sula dactylatra,
Sula sula,
Sula leucogaster,
Anhinga anhinga,
Nannopterum brasilianum,
Pelecanus occidentalis,
Tigrisoma lineatum,
Tigrisoma fasciatum,
Agamia agami,
Cochlearius cochlearius,
Zebrilus undulatus,
Botaurus pinnatus,
Ixobrychus exilis,
Ixobrychus involucris,
Nycticorax nycticorax,
Nyctanassa violacea,
Butorides striata,
Ardeola ralloides,
Bubulcus ibis,
Ardea cinerea,
Ardea cocoi,
Ardea purpurea,
Ardea alba,
Syrigma sibilatrix,
Pilherodius pileatus,
Egretta tricolor,
Egretta gularis,
Egretta garzetta,
Egretta thula,
Egretta caerulea,
Eudocimus ruber,
Plegadis chihi,
Cercibis oxycerca,
Mesembrinibis cayennensis,
Phimosus infuscatus,
Theristicus caerulescens,
Theristicus caudatus,
Platalea leucorodia,
Platalea ajaja,
Sarcoramphus papa,
Coragyps atratus,
Cathartes aura,
Cathartes burrovianus,
Cathartes melambrotus,
Pandion haliaetus,
Gampsonyx swainsonii,
Elanus leucurus,
Chondrohierax uncinatus,
Leptodon cayanensis,
Leptodon forbesi,
Elanoides forficatus,
Morphnus guianensis,
Harpia harpyja,
Spizaetus tyrannus,
Spizaetus melanoleucus,
Spizaetus ornatus,
Busarellus nigricollis,
Rostrhamus sociabilis,
Helicolestes hamatus,
Harpagus bidentatus,
Harpagus diodon,
Ictinia mississippiensis,
Ictinia plumbea,
Circus cinereus,
Circus buffoni,
Hieraspiza superciliosa,
Accipiter poliogaster,
Accipiter striatus,
Accipiter bicolor,
Milvus migrans,
Geranospiza caerulescens,
Buteogallus schistaceus,
Buteogallus aequinoctialis,
Heterospizias meridionalis,
Amadonastur lacernulatus,
Urubitinga urubitinga,
Urubitinga solitaria,
Urubitinga coronata,
Rupornis magnirostris,
Parabuteo unicinctus,
Parabuteo leucorrhous,
Geranoaetus albicaudatus,
Geranoaetus melanoleucus,
Pseudastur albicollis,
Pseudastur polionotus,
Leucopternis melanops,
Leucopternis kuhli,
Buteo nitidus,
Buteo platypterus,
Buteo brachyurus,
Buteo swainsoni,
Buteo albonotatus,
Tyto furcata,
Megascops choliba,
Megascops roraimae,
Megascops sanctaecatarinae,
Megascops watsonii,
Megascops usta,
Megascops stangiae,
Megascops ater,
